objectid,title,title_alt,date,creator,description,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb
ng_pub_061,Soil nutrient leaching and foliar nutrient content in sugar maple forests along a regional air pollution gradient,,2006,"Fedak, K.",,,,,"Undergraduate Honors Thesis, University of Michigan, Ann Arbor",Text,,,,,,record,,,
ng_pub_062,Chronic experimental <span> NO<sub>3</sub><span><sup>−</sup></span></span> deposition reduces the retention of leaf litter DOC in a northern hardwood forest soil,,2006,"Smemo, K.A., D.R. Zak, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Smemo_2006_Soil_Biology_and_Biochemistry.pdf,smemo_2006_soil_biology_and_biochemistry.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/smemo_2006_soil_biology_and_biochemistry.pdf,,
ng_pub_063,Microbial cycling of C and N in northern hardwood forests receiving chronic atmospheric <span> NO<sub>3</sub><span><sup>−</sup></span></span> deposition,,2006,"Zak, D.R., W.E. Holmes, M.J. Tomlinson, K.S. Pregitzer, and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak_2006_Ecosystems.pdf,zak_2006_ecosystems.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_2006_ecosystems.pdf,,
ng_pub_064,A molecular dawn for biogeochemistry,,2006,"Zak, D.R., C.B. Blackwood, and M.P. Waldrop",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak_2006_Trends_in_Ecology _and_Evolution.pdf,zak_2006_trends_in_ecology__and_evolution.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_2006_trends_in_ecology__and_evolution.pdf,,
ng_pub_065,"Atmospheric <span> NO<sub>3</sub><span><sup>−</sup></span></span> deposition, and enhanced DOC leaching: Test of a potential mechanism",,2005,"DeForest, J.L., D.R. Zak, K.S. Pregitzer and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/DeForest_2005_Soil_Scientist_Society_of_America.pdf,deforest_2005_soil_scientist_society_of_america.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/deforest_2005_soil_scientist_society_of_america.pdf,,
ng_pub_066,The response of belowground carbon allocation in forests to global change,,2005,"Giardina, C.P., M.D. Coleman, J.E. Hancock, J.S. King, E.A. Lilleskov, W.M. Loya, K.S. Pregitzer, M.G. Ryan, and C.T. Trettin",,,,,Tree Species Effects on Soils: Implications for Global Change,Text,,,,,,record,,,
ng_pub_067,Measuring fine root turnover in forest ecosystems,,2005,"Majdi, H, K Pregitzer, A-S Morén, and GI Ågren",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Majdi_2005.pdf,majdi_2005.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/majdi_2005.pdf,,
ng_pub_068,Effects of soil temperature on nutrient uptake,,2005,"Pregitzer, K.S. and J.S. King",,,,,Nutrient Acquisition by Plants: An Ecological Perspective,Text,,,,,,record,,,
ng_pub_069,Simulated chronic NO<sub>3</sub><sup>−</sup> addition reduces soil respiration in northern hardwood forests,,2004,"Burton, A.J., K.S. Pregitzer, J.N. Crawford, G.P. Zogg, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_2004_Global_Change_Biology.pdf,burton_2004_global_change_biology.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_2004_global_change_biology.pdf,,
ng_pub_070,Elevated atmospheric <span> NO<sub>3</sub><span><sup>−</sup></span></span> deposition in northern hardwood forests: impacts on the microbial mechanisms of plant litter decomposition,,2004,"DeForest, J.L.",,,,,"Ph.D. Dissertation, University of Michigan, Ann Arbor, Michigan",Text,,,,,,record,,,
ng_pub_071,Atmospheric nitrate deposition and the microbial degradation of cellobiose and vanillin in a northern hardwood forest,,2004,"DeForest, J.L., D.R. Zak, K.S. Pregitzer, and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/DeForest_2004_Soil_Scientist_Society_of_America.pdf,deforest_2004_soil_scientist_society_of_america.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/deforest_2004_soil_scientist_society_of_america.pdf,,
ng_pub_072,"Atmospheric nitrate deposition, microbial community composition, and enzyme activity in northern hardwood forests",,2004,"Deforest, J.L., D.R. Zak, K.S. Pregitzer, and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/DeForest_2004_Soil_Biology_Biochem.pdf,deforest_2004_soil_biology_biochem.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/deforest_2004_soil_biology_biochem.pdf,,
ng_pub_073,Chronic nitrate addition alters northern hardwood root and leaf litter chemistry,,2004,"Eikenberry, J.R.",,,,,"M.S. Thesis, Michigan Technological University, Houghton",Text,,,,,,record,,,
ng_pub_074,Chronic nitrate additions dramatically increase the export of carbon and nitrogen from northern hardwood ecosystems,,2004,"Pregitzer, K.S., D.R. Zak, A.J. Burton, J.A. Ashby, and N.W. MacDonald",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_2004_Biogeochemistry.pdf,pregitzer_2004_biogeochemistry.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_2004_biogeochemistry.pdf,,
ng_pub_075,Anthropogenic N deposition and the fate of <sup>15</sup><span>NO<sub>3</sub><span><sup>−</sup></span></span> in a northern hardwood ecosystem,,2004,"Zak, D.R., K.S. Pregitzer, W.E. Holmes, A.J. Burton, and G.P. Zogg",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak_2004_Biogeochemistry.pdf,zak_2004_biogeochemistry.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_2004_biogeochemistry.pdf,,
ng_pub_076,Field measurements of root respiration indicate little to no seasonal temperature acclimation for sugar maple and red pine,,2003,"Burton, A.J., and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_2003_Tree_Phys.pdf,burton_2003_tree_phys.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_2003_tree_phys.pdf,,
ng_pub_077,Carbon cycling in forest ecosystems with an emphasis on belowground processes,,2003,K.S. Pregitzer,,,,,In The potential of U.S. forest soils to sequester carbon and mitigate the greenhouse effect,Text,,,,,,record,,,
ng_pub_078,Measurement carbon dioxide concentration does not affect root respiration rates of nine tree species in the field,,2002,"Burton, A.J., and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_2002_Tree_Physiol.pdf,burton_2002_tree_physiol.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_2002_tree_physiol.pdf,,
ng_pub_079,"The effects of nitrogen amendments on belowground carbon cycling in second growth sugar maple forests along a climate and N-deposition gradient in Michigan, USA",,2002,"Crawford, J.N.",,,,,"M.S. Thesis, Michigan Technological University, Houghton",Text,,,,,,record,,,
ng_pub_080,Fine roots of trees – a new perspecitve,,2002,"Pregitzer, K.S.",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_2002_New_Phytologist.pdf,pregitzer_2002_new_phytologist.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_2002_new_phytologist.pdf,,
ng_pub_081,Carbon cycling in forest ecosystems with an emphasis on belowground processes,,2002,"Pregitzer, K.S.",,,,,The Potential of U.S. Forest Soils to Sequester Carbon and Mitigate the Greenhouse Effect,Text,,,,,,record,,,
ng_pub_082,The effects of long-term nitrogen deposition on extracellular enzyme activity in an <i>Acer saccharum </i>forest soil,,2002,"Saiya-Cork, K.",,,,,"M.S. Thesis, Univ. Toledo",Text,,,,,,record,,,
ng_pub_083,The effects of long-term nitrogen deposition on extracellular enzyme activity in an <i>Acer saccharum</i> forest soil,,2002,"Saiya-Cork, K. R., R. L. Sinsabaugh, and D. R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Saiya_Cork_2002_Soil_Biology_and_Biochemistry.pdf,saiya_cork_2002_soil_biology_and_biochemistry.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/saiya_cork_2002_soil_biology_and_biochemistry.pdf,,
ng_pub_084,Predicting daily mean soil temperature from daily mean air temperature in four northern hardwood forest stands,,2000,"Brown, S.E., K.S. Pregitzer, D.D. Reed, and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Brown_et_al_2000_Forest_Science.pdf,brown_et_al_2000_forest_science.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/brown_et_al_2000_forest_science.pdf,,
ng_pub_085,Relationships between fine root dynamics and nitrogen availability in Michigan northern hardwood forests,,2000,"Burton, A.J., K.S. Pregitzer, and R.L. Hendrick",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_2000_Oecologia.pdf,burton_2000_oecologia.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_2000_oecologia.pdf,,
ng_pub_086,Responses of tree fine roots to temperature,,2000,"Pregitzer, K.S., J.S. King, A.J. Burton, and S.E. Brown",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_2000_New_Phytol.pdf,pregitzer_2000_new_phytol.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_2000_new_phytol.pdf,,
ng_pub_087,The kinetics of nitrogen uptake by <i>Populus tremuloides</i> grown under experimental atmospheric CO<sub>2</sub> and soil N availability treatments,,2000,"Rothstein, D.E., D.R. Zak, K.S. Pregitzer, and P.S. Curtis",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Rothstein_2000_Tree_Phys.pdf,rothstein_2000_tree_phys.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/rothstein_2000_tree_phys.pdf,,
ng_pub_088,Microbial immobilization and the retention of anthropogenic nitrate in a northern hardwood forest,,2000,"Zogg, G.P., D.R. Zak, K.S. Pregitzer, and A.J. Burton",,,,,Ecology 81: 1858-1866,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zogg_2000_Ecology.pdf,zogg_2000_ecology.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zogg_2000_ecology.pdf,,
ng_pub_089,Production dynamics and climate in four northern hardwood stands in Michigan,,1999,"Brown, S.E.",,,,,"Ph.D. Dissertation, Michigan Technological University, Houghton",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Brown_dissertation_1999.pdf,brown_dissertation_1999.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/brown_dissertation_1999.pdf,,
ng_pub_090,Soil warming and carbon loss from a Lake States spodosol,,1999,"MacDonald, N.W., D.L. Randlett, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/MacDonald 1999 SSSAJ.pdf,macdonald_1999_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/macdonald_1999_sssaj.pdf,,
ng_pub_091,"Ecophysiology of three deciduous forest herbs: Relationships between physiology, life history and ecosystem-level nitrogen cycling",,1999,"Rothstein, D.E.",,,,,"Ph.D. dissertation, University of Michigan, Ann Arbor",Text,,,,,,record,,,
ng_pub_092,"Soil temperature, matric potential, and the kinetics of microbial respiration and net N mineralization",,1999,"Zak, D.R., W.E. Holmes, N.W. MacDonald, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak_1999_SSSAJ.pdf,zak_1999_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_1999_sssaj.pdf,,
ng_pub_093,Drought reduces root respiration in sugar maple forests,,1998,"Burton, A.J., K.S. Pregitzer, G.P. Zogg, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_1998_Ecological_Applications.pdf,burton_1998_ecological_applications.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_1998_ecological_applications.pdf,,
ng_pub_094,"Environmental stress effects on vigor, mortality, and growth in northern hardwood forests along a pollution-climate gradient",,1998,"MacDonald, N.W., J.A. Witter, D.D. Reed, A.J. Burton, K.S. Pregitzer, and H.O. Liechty",,,,,Michigan Academician,Text,,,,,,record,,,
ng_pub_095,Variation in sugar maple root respiration with root diameter and soil depth,,1998,"Pregitzer, K.S., M.J. Laskowski, A.J. Burton, V.C. Lessard, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_1998_Tree_Physiol.pdf,pregitzer_1998_tree_physiol.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_1998_tree_physiol.pdf,,
ng_pub_096,Integration of ecophysiological and biogeochemical approaches to ecosystem dynamics,,1998,"Zak, D.R., and K.S. Pregitzer",,,,,"Successes, Limitations, and Frontiers in Ecosystem Science",Text,,,,,,record,,,
ng_pub_097,Sugar maple fine root respiration and longevity along a latitudinal gradient,,1997,"Burton, A.J.",,,,,"Ph.D. Dissertation, Michigan Technological University, Houghton",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_dissertation_1997.pdf,burton_dissertation_1997.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_dissertation_1997.pdf,,
ng_pub_098,Effects of measurement CO<sub>2</sub> concentration on sugar maple root respiration,,1997,"Burton, A.J., G.P. Zogg, K.S. Pregitzer, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_1997_Tree_phys.pdf,burton_1997_tree_phys.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_1997_tree_phys.pdf,,
ng_pub_099,The relationship between fine root demography and the soil environment in northern hardwood forests,,1997,"Hendrick, R.L. and K.S. Pregitzer",,,,,"Ecoscience, 4(1) (1997)",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hendrick_1997_EcoScience.pdf,hendrick_1997_ecoscience.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hendrick_1997_ecoscience.pdf,,
ng_pub_100,"Relationships among root branch order, carbon, and nitrogen in four temperate species",,1997,"Pregitzer, K.S., M.E. Kubiske, C.K. Yu, and R.L. Hendrick",,,,,"Oecologia, 111 (1997)",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_97_Oecologia.pdf,pregitzer_97_oecologia.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_97_oecologia.pdf,,
ng_pub_101,Compositional and functional shifts in microbial communities related to soil warming,,1997,"Zogg, G.P., D.R. Zak, D.B. Ringelberg, N.W. MacDonald, K.S. Pregitzer, and D.C. White",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zogg_1997_SSSAJ.pdf,zogg_1997_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zogg_1997_sssaj.pdf,,
ng_pub_102,Belowground carbon dynamics in northern hardwood forests: Factors controlling respiration from roots and soil microorganisms,,1997,"Zogg, G.P.",,,,,"Ph.D. Dissertation, University of Michigan, Ann Arbor",Text,,,,,,record,,,
ng_pub_103,Latitudinal variation in sugar maple fine root respiration,,1996,"Burton, A.J., K.S. Pregitzer, G.P. Zogg, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_1996_CJFR.pdf,burton_1996_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_1996_cjfr.pdf,,
ng_pub_104,Temporal and depth-related patterns of fine root dynamics in northern hardwood forests,,1996,"Hendrick, R.L. and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hendrick_1996_Ecology.pdf,hendrick_1996_ecology.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hendrick_1996_ecology.pdf,,
ng_pub_105,Applications of minirhizotrons to understand root function in forests and other natural ecosystems,,1996,"Hendrick, R.L. and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hendrick_1996_Plant_Soil.pdf,hendrick_1996_plant_soil.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hendrick_1996_plant_soil.pdf,,
ng_pub_106,Relationships between soluble sugar concentrations in roots and ecosystem stress for the first-year sugar maple seedlings,,1996,"McLaughlin, J.W., S.T. Bagley, D.D. Reed, M.F. Jurgensen, and G.D. Mroz",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/McLaughlin_1996_Water_Air_and_Soil_Pollution.pdf,mclaughlin_1996_water_air_and_soil_pollution.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/mclaughlin_1996_water_air_and_soil_pollution.pdf,,
ng_pub_107,Nitrate deposition in northern hardwood forests and the N metabolism of <i>Acer saccharum</i>,,1996,"Rothstein, D.E., D.R. Zak, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Rothstein_96_Oecologia.pdf,rothstein_96_oecologia.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/rothstein_96_oecologia.pdf,,
ng_pub_108,Fine root respiration in northern hardwood forests in relation to temperature and nitrogen availability,,1996,"Zogg, G.P., D.R. Zak, and A.J. Burton, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zogg_1996_Tree_Physiol.pdf,zogg_1996_tree_physiol.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zogg_1996_tree_physiol.pdf,,
ng_pub_109,Nitrate saturation in northern hardwood forests: potential for nitrate leaching,,1995,"Govindarajulu, U.",,,,,"M.S. Thesis, University of Michigan, Ann Arbor",Text,,,,,,record,,,
ng_pub_110,Dissolved organic carbon in northern hardwood stands with differing acidic inputs and temperature regimes,,1995,"Liechty, H.O., E. Kuuseoks, and G.D. Mroz",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Liechty_1995_JEQ.pdf,liechty_1995_jeq.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/liechty_1995_jeq.pdf,,
ng_pub_111,Temperature effects on kinetics of microbial respiration and net nitrogen and sulfur mineralization,,1995,"MacDonald, N.W., D.R. Zak, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/MacDonald_1995_SSSAJ.pdf,macdonald_1995_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/macdonald_1995_sssaj.pdf,,
ng_pub_112,Nitrate deposition in northern hardwood forests and the N metabolism of <i>Acer saccharum</i> Marsh,,1995,"Rothstein, D.E.",,,,,"M.S. Thesis, University of Michigan, Ann Arbor",Text,,,,,,record,,,
ng_pub_113,Ecological implications of projected climate change scenarios in forest ecosystems of central North America,,1994,"Jones, E.A., D.D. Reed, and P.V. Desanker",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Jones_1994_Agric_For_Metogy.pdf,jones_1994_agric_for_metogy.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/jones_1994_agric_for_metogy.pdf,,
ng_pub_114,Evaluation of climate and forest growth models in Michigan,,1994,"Kuuseoks, E.",,,,,"M.S. Thesis, Michigan Technological University, Houghton",Text,,,,,,record,,,
ng_pub_115,An evaluation of throughfall chemistry in northern hardwoods along an air pollution gradient.,,1994,"Liechty, H.O.",,,,,"Ph.D. Dissertation, Michigan Technological University, Houghton",Text,,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications_Dissertation_Liechty.htm,,error,,,
ng_pub_116,Sulfate adsorption in forest soils of the Great Lakes region,,1994,"MacDonald, N.W., A.J. Burton, J.A. Witter, and D.D. Richter",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/MacDonald_1994_SSSAJ.pdf,macdonald_1994_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/macdonald_1994_sssaj.pdf,,
ng_pub_117,Foliar amino acid accumulation as an indicator of ecosystem stress for first-year sugar maple seedlings,,1994,"McLaughlin, J.W., D.D. Reed, S.T. Bagley, M.F. Jurgensen, and G.D. Mroz",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/McLaughlin_1994_JEQ.pdf,mclaughlin_1994_jeq.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/mclaughlin_1994_jeq.pdf,,
ng_pub_118,Potential impacts of projected climate change scenarios on individual tree species in central North America,,1994,"Reed, D.D., E.A. Jones, and P.V. Desanker",,,,,"Proceedings of the 13th International Congress of Biometeorology, Part 2, Volume I",Text,,,,,,record,,,
ng_pub_119,Studying the effects of air pollution on forests along exposure gradients: experiences in the United States and opportunities for cooperation,,1994,"Reed, D.D., G.D. Mroz, H.O. Liechty, K.S. Pregitzer, A.J. Burton, D.R. Zak, J.A. Witter, and N.W. MacDonald",,,,,Proceedings of the Conference on Climate and Atmospheric Deposition Studies in Forests,Text,,,,,,record,,,
ng_pub_120,Productivity and growth efficiency in sugar maple forests,,1994,"Reed, D.D., K.S. Pregitzer, H.O. Liechty, A.J. Burton, and G.D. Mroz",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Reed_1994_For_Ecology_Mgnt.pdf,reed_1994_for_ecology_mgnt.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/reed_1994_for_ecology_mgnt.pdf,,
ng_pub_121,Foliar nutrients in sugar maple forests along a regional pollution-climate gradient,,1993,"Burton, A.J., K.S. Pregitzer, and N.W. MacDonald",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_1993_SSSAJ.pdf,burton_1993_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_1993_sssaj.pdf,,
ng_pub_122,"The dynamics of fine root length, biomass and nitrogen content in two northern hardwood ecosystems",,1993,"Hendrick, R.L. and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hendrick_1993_CJFR.pdf,hendrick_1993_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hendrick_1993_cjfr.pdf,,
ng_pub_123,Patterns of fine root mortality in two sugar maple forests,,1993,"Hendrick, R.L. and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hendrick_1993_Nature.pdf,hendrick_1993_nature.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hendrick_1993_nature.pdf,,
ng_pub_124,Climate stress as a precursor to forest decline: paper birch in northern Michigan,,1993,"Jones, E.A., D.D. Reed, G.D. Mroz, H.O. Liechty, and P.J. Cattelino",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Jones_1993_CJFR.pdf,jones_1993_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/jones_1993_cjfr.pdf,,
ng_pub_125,Width of sugar maple (<i>Acer saccharum</i>) tree rings as affected by climate,,1993,"Lane, C.J., D.D. Reed, G.D. Mroz, and H.O. Liechty",,,,,"Canadian Journal of Forest Research, 23 (1993)",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Lane_1993_CJFR.pdf,lane_1993_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/lane_1993_cjfr.pdf,,
ng_pub_126,Cation and anion fluxes in northern hardwood throughfall along an acidic deposition gradient,,1993,"Liechty, H.O., G.D. Mroz, and D.D. Reed",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Liechty_1993_CJFR.pdf,liechty_1993_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/liechty_1993_cjfr.pdf,,
ng_pub_127,"Relationships among atmospheric deposition throughfall, and soil properties in oak forest ecosystems",,1993,"MacDonald, N.W., J.A. Witter, A.J. Burton, K.S. Pregitzer, and D.D. Richter",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/MacDonald_1993_CJFR.pdf,macdonald_1993_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/macdonald_1993_cjfr.pdf,,
ng_pub_128,"Fine root production, demography and turnover in northern hardwood forests (<i>Acer saccharum</i>)",,1992,"Hendrick, R.L.",,,,,"Ph.D. Dissertation, Michigan State University, East Lansing",Text,,,,,,record,,,
