objectid,title,subject,creator,editor,date,publication_type,format,identifier,description,rivers,years_studied,source,research_topic,location,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb
rrrd053,Autonomous agents in the park: an introduction to the Grand Canyon river trip simulation model,,"Daniel, T. C. and Gimblett, H. R.",,2000,Journal Article,record,,,Colorado (Grand Canyon),,International Journal of Wilderness; ISSN 1086-5519; Volume 6; Issue 3; 39-43 pp.,"Use allocation, Trip characteristics",Arizona,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/53,53,52.jpg,/rrrd/image/52.jpg,record,,,,
rrrd054,Attitudes and environmental management,,"Heberlein, T. A.",,1989,Journal Article,record,,,Colorado,,The Journal of Social Issues; ISSN 0022-4537; Volume 45; Issue 1; 37-57 pp.,"Use allocation, Management standards",Colorado,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/54,54,53.jpg,/rrrd/image/53.jpg,record,,,,
rrrd055,"Backcountry encounter norms: theory, method, and empirical evidence",,"Vaske, J. J., Shelby, B., Graefe, A. R. and Heberlein, T. A.",,1986,Journal Article,record,,,Brule,,Journal of Leisure Research; ISSN 0022-2216; Volume 18; Issue 3; 137-153 pp.,Social norms,Wisconsin,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/55,55,54.jpg,/rrrd/image/54.jpg,record,,,,
rrrd056,Barge traffic impacts on recreational lock use: the case of the Upper Mississippi River,,"Gramann, J. H., McAvoy, L., Jr., Absher, J. D. and Burdge, R. J.",,1985,Conference Proceedings,record,,,Mississippi (Upper),,"Proceedings Southeastern Recreation Research Conference 1984; Statesboro, GA; Georgia Southern College; 15-22 pp.",Management standards,Unknown,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/56,56,55.jpg,/rrrd/image/55.jpg,record,,,,
rrrd057,"Boater preferences for beach characteristics downstream from Glen Canyon Dam, Arizona",,"Stewart, W., Larkin, K., Orland, B. and Anderson, D.","Anderson, L. M.",2003,Journal Article,record,,,Colorado,,Journal of Environmental Management; ISSN 0301-4797; Volume 69; Issue 2; 201-211 pp.,Recreation setting,Arizona,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/57,57,56.jpg,/rrrd/image/56.jpg,record,,,,
rrrd058,"Bank and float angler perceptions of use levels on the Madison River, Montana",,"Schoolmaster, F. A.",,1986,Journal Article,record,,,Madison,,North American Journal of Fisheries Management; Volume 6; 430-438 pp.,"Use levels, Satisfaction, Recreational fishery management, Social carrying capacity, Norms",Montana,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/58,58,57.jpg,/rrrd/image/57.jpg,record,,,,
rrrd059,Busy boating on the lazy river. Fancy boats and those who cater to them are changing Mississippi River recreation,,"Weitz, D.",,1990,Journal Article,record,,,Mississippi,,Wisconsin Natural Resources; ISSN 0736-2277; Volume 14; Issue 3; 13 pp.,n/a,n/a,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/59,59,58.jpg,/rrrd/image/58.jpg,record,,,,
rrrd060,Cache La Poudre River (National Recreation Area for Fort Collins),,"VanMeter, K.",,1989,Journal Article,record,,,Cache la Poudre,,The western planner; ISSN 0279-0602; Volume 10; Issue 5; 19 pp.,Unknown,Colorado,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/60,60,59.jpg,/rrrd/image/59.jpg,record,,,,
rrrd061,Can superior natural amenities create high-quality employment opportunities? The case of nonconsumptive river recreation in central idaho,,"McKean, J. R., Johnson, D. M., Johnson, R. L. and Taylor, R. G.",,2005,Journal Article,record,,,Unknown,,Society & Natural Resources; 8941920; Volume 18; Issue 8; 749-758 pp.,Economic value of recreation,Idaho,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/61,61,60.jpg,/rrrd/image/60.jpg,record,,,,
rrrd062,Celebrating group and place identity: a case study of a new regional festival,,"de Bres, K. and Davis, J.",,2001,Journal Article,record,,,Kansas,,Tourism Geographies; ISSN 1461-6688; Volume 3; Issue 3; 326-337 pp.,Place attachment,Kansas,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/62,62,61.jpg,/rrrd/image/61.jpg,record,,,,
rrrd063,Characteristics and use behavior of innertube floaters on southern Appalachian streams,,"Hammitt, W. E., McDonald, F. D. and Cordell, H. K.",,1983,Journal Article,record,,,Unknown,,Journal of Soil and Water Conservation; ISSN 0022-4561; Volume 38; Issue 2; 113-115 pp.,User characteristics,Eastern U.S.,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/63,63,62.jpg,/rrrd/image/62.jpg,record,,,,
rrrd064,Cognitive representations of the natural environment,,"Paradice, W. E. J.",,1981,Thesis,record,,,Flathead (Middle Fork),,"Moscow, ID; University of Idaho; 330 p.",Recreation Setting,Montana,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/64,64,63.jpg,/rrrd/image/63.jpg,record,,,,
rrrd065,Community participation in riverfront development,,"Sanoff, H.",,2005,Journal Article,record,,,Ohio,,CoDesign; ISSN 1571-0882; Volume 1; Issue 1; 61-78 pp.,"Cooperative/collaborative management, Riverfront planning, Citizen participation",Kentucky,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/65,65,64.jpg,/rrrd/image/64.jpg,record,,,,
rrrd066,Comparable estimates of the recreational value of rivers,,"Sanders, L. D., Walsh, R. G. and McKean, J. R.",,1991,Journal Article,record,,,Cache la Poudre; Colorado; Conejos; Dolores; Elk; Encampment; Green; Gunnison; Los Pinos; Piedra; Yampa,,Water Resources Research; ISSN 0043-1397; Volume 27; Issue 7; 1387-1394 pp.,Economic value of recreation,Colorado,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/66,66,65.jpg,/rrrd/image/65.jpg,record,,,,
rrrd067,Comparative analysis of crowding in multiple locations: results from fifteen years of research,,"Shelby, B., Vaske, J. J. and Heberlein, T. A.",,1989,Journal Article,record,,,Numerous,,Leisure Sciences; ISSN 0149-0400; Volume 11; 269-291 pp.,Crowding,Numerous,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/67,67,66.jpg,/rrrd/image/66.jpg,record,,,,
rrrd068,Computer algorithms for assessing regional river recreation resources,,"Hecock, R. D., Tweedie, S. W. and Roroney, J. F., Jr.",,1980,Report,record,,,Unknown,,"National Technical Information Service (NTIS), US Department of Commerce; Volume 80; Number 6; 941-942 pp.","Trip characteristics, Travel patterns, River recreation travel",Oklahoma,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/68,68,67.jpg,/rrrd/image/67.jpg,record,,,,
rrrd069,Computer simulation analysis of carrying capacity of a river recreation system,,"Thompson, D. N.",,1982,Thesis,record,,,Youghiogheny,,191 p.,"Carrying capacity, Modeling, Computer simulation",Pennsylvania,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/69,69,68.jpg,/rrrd/image/68.jpg,record,,,,
rrrd070,Contrasting recreational experiences: motors and cars in the Grand Canyon,,"Shelby, B.",,1980,Journal Article,record,,,Colorado (Grand Canyon),,Journal of Soil and Water Conservation; ISSN 0022-4561; Volume 35; Issue 3; 129-131 pp.,Recreation Experience,Arizona,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/70,70,69.jpg,/rrrd/image/69.jpg,record,,,,
rrrd071,Crowding models for backcountry recreation,,"Shelby, B.",,1980,Journal Article,record,,,Colorado (Grand Canyon),,Land Economics; ISSN 0023-7639; Volume 56; Issue 1; 43-55 pp.,"Recreation experience, Crowding",Arizona,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/71,71,70.jpg,/rrrd/image/70.jpg,record,,,,
rrrd072,Declining resources as cause of user conflicts: an examination of the Upper Mississippi River system,,"Anderson, S. W. and Lawrence, W. E.",,1982,Conference Proceedings,record,,,Mississippi (Upper),,"Symposium on Leisure Research; Louisville, KY; National Parks and Recreation Association; 3 pp.","Recreation experience, Level of environmental impact",Illinois; Iowa; Minnesota; Michigan; Wisconsin,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/72,72,71.jpg,/rrrd/image/71.jpg,record,,,,
rrrd073,Degree and range of recreation specialization: toward a typology of boating related activities,,"Donnelly, M. P., Vaske, J. J. and Graefe, A.",,1986,Journal Article,record,,,Unknown,,Journal of Leisure Research; ISSN 0022-2216; Volume 18; Issue 2; 81-95 pp.,"User characteristics, Recreation activity specialization, Boater typology",Maryland,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/73,73,72.jpg,/rrrd/image/72.jpg,record,,,,
rrrd074,Developing a tourism impact attitude scale,,"Lankford, S. V. and Howard, D. R.",,1994,Journal Article,record,,,Columbia River Gorge,,Annals of Tourism Research; ISSN 0160-7383; Volume 21; Issue 1; 121-139 pp.,Miscellaneous,Oregon; Washington,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/74,74,73.jpg,/rrrd/image/73.jpg,record,,,,
rrrd075,"Developing, implementing and evaluating an agency-outfitter partnership to provide information services for boaters on the Lower Salmon River in Idaho",,"Tan, C. E.",,1991,Thesis,record,,,Lower Salmon,,"Moscow, ID; University of Idaho; 104 p.",Public education techniques,Idaho,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/75,75,74.jpg,/rrrd/image/74.jpg,record,,,,
rrrd076,Development and application of an index of specialization for Virginia River canoeists,,"Smith, A. C.",,1983,Journal Article,record,,,Unknown,,Forestry Abstracts; Volume 44; Issue 10; 619 pp.,Recreation activity specialization,Virginia,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/76,76,75.jpg,/rrrd/image/75.jpg,record,,,,
rrrd077,"Differential effects of past experience, commitment, and lifestyle dimensions on river use specialization",,"Kuentzel, W. F. and McDonald, C. D.",,1992,Journal Article,record,,,Ocoee,,Journal of Leisure Research; ISSN 0022-2216; Volume 24; Issue 3; 269-287 pp.,"User characteristics, Experience use history, Activity specialization",Tennessee,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/77,77,76.jpg,/rrrd/image/76.jpg,record,,,,
rrrd078,Development and preservation: the general public perspective,,"Clements, C., Lime, D. W. and Madell, M.",,1994,Conference Proceedings,record,,,Mississippi (Upper),,"Rivers Without Boundaries; Grand Junction, CO; American River Management Society; 129-134 pp.",Local resident viewpoint,Minnesota,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/78,78,77.jpg,/rrrd/image/77.jpg,record,,,,
rrrd079,Differentiating motivations of guided versus unguided fly anglers,,"Wright, M. and Sanyal, N.",,1998,Journal Article,record,,,Unknown,,Human Dimensions of Wildlife; ISSN 1087-1209; Volume 3; Issue 1; 34-46 pp.,"Motivations, Angler characteristics, Guided vs. unguided anglers",Montana,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/79,79,78.jpg,/rrrd/image/78.jpg,record,,,,
rrrd080,Direct-mail literature as a method to reduce problems of wild river management,,"Fazio, J. R. and Ratcliffe, R. T.",,1989,Journal Article,record,,,n/a,,Journal of Park and Recreation Administration; ISSN 0735-1968; Volume 7; Issue 4; 1-9 pp.,Public education techniques,Western U.S.,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/80,80,79.jpg,/rrrd/image/79.jpg,record,,,,
rrrd081,Displacement of recreational users between the lower St. Croix and upper Mississippi rivers,,"Becker, R. H.",,1981,Journal Article,record,,,Mississippi; St. Croix (Lower),,"Journal of Environmental Management, UK; ISSN -301-4797; Volume 13; Issue 3; 259-267 pp.","User satisfaction, Survey techniques, Recreation experience, Crowding",Minnesota; Wisconsin,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/81,81,80.jpg,/rrrd/image/80.jpg,record,,,,
rrrd082,Diversifying natural resources value measurements: the Trinity River study,,"Taylor, J. G. and Douglas, A. J.",,1999,Journal Article,record,,,Trinity,,Society & Natural Resources; ISSN 0894-1920; Volume 12; Issue 4; 315-336 pp.,"Economic value of recreation, User satisfaction",California,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/82,82,81.jpg,/rrrd/image/81.jpg,record,,,,
rrrd083,Economic benefits of river protection: a study of recreation use and preservation values,,"Sanders, L. D.",,1985,Journal Article,record,,,Unknown,,"Dissertation Abstracts International Section A, Humanities and Social Sciences; Volume 46; Issue 6; p. 1700",Economic value of recreation,Colorado,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/83,83,82.jpg,/rrrd/image/82.jpg,record,,,,
rrrd084,"Economic effects study : Hellgate Recreation Area management plan, study report",,Economic Strategies Northwest,,1994,Report,record,,,Rogue (Hellgate),,"Lake Oswego, OR; Economic Strategies Northwest",Economic value of recreation,Oregon,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/84,84,83.jpg,/rrrd/image/83.jpg,record,,,,
rrrd085,Economic impact of recreation on the Upper Mississippi River system,,"Carlson, B. D., Propst, D. B., Stynes, D. J. and Jackson, R. S.",,1995,Report,record,,,Mississippi (Upper); Illinois; St. Croix; Minnesota; Kaskaskia,,"Vicksburg, MS; Army Engineer Waterways Experiment Station; A102492; 64 p.","Economic value of recreation, Recreation use, Use estimation methods",Minnesota; Wisconsin; Iowa; Illinois; Missouri,2010-03-29,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/85,85,84.jpg,/rrrd/image/84.jpg,record,,,,
rrrd086,Economic impacts associated with whitewater boating on the Upper Youghiogheny River,,"Gitelson, R. J. and Graefe, A. R.","More, T. A., Donnelly, M. P., Graefe, A. R. and Vaske, J. J.",1990,Conference Proceedings,record,,,Youghiogheny (Upper),,"Proceedings of the 1990 northeastern recreation research symposium: travel, tourism, and community development, volume 3, GTR-NE-145, February 25-28, 1990; Saratoga Springs, NY; USDA Forest Service, Northeastern Forest Experiment Station; 65-69 pp.",Economic value of recreation,Maryland,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/86,86,85.jpg,/rrrd/image/85.jpg,record,,,,
rrrd087,Economic impacts of guided whitewater rafting: a study of five rivers,,"English, D. B. K. and Bowker, J. M.",,1996,Journal Article,record,,,Salmon (Middle Fork),,Water Resources Bulletin; Volume 32; Issue 6; 1319-1328 pp.,"Economic value of recreation, Outfitters/guides",Idaho,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/87,87,86.jpg,/rrrd/image/86.jpg,record,,,,
rrrd088,Economic effects of river recreation on local economies,,"Cordell, H. K., Bergstrom, J. C., Ashley, G. A. and Karish, J.",,1990,Journal Article,record,,,Delaware (Upper); Delaware Water Gap; New River Gorge,,Water Resources Bulletin; ISSN 0043-1370; Volume 26; Issue 1; 53-60 pp.,Economic value of recreation,New Jersey; New York; Pennsylvania; West Virginia,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/88,88,87.jpg,/rrrd/image/87.jpg,record,,,,
rrrd089,Economic losses to recreational fisheries due to small-head hydro-power development: a case study of the Henry's Fork in Idaho,,"Loomis, J., Sorg, C. F. and Donnelly, D.",,1986,Journal Article,record,,,Snake (Henry's Fork),,Journal of Environmental Management; ISSN 0301-4797; Volume 22; Issue 1; 85-94 pp.,Economic value of recreation,Idaho,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/89,89,88.jpg,/rrrd/image/88.jpg,record,,,,
rrrd090,Economic methods to solve conflicts in the utilization of water resources,,"Bishop, R.",,1991,Journal Article,record,,,Colorado,,Medit; Volume 2; Issue 3; 30-39 pp.,"Economic value of recreation, Level of environmental impact",Utah,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/90,90,89.jpg,/rrrd/image/89.jpg,record,,,,
rrrd091,"Economic valuation of the chinook salmon sport fishery of the Gulkana River, Alaska, under current and alternate management plans",,"Layman, R. C., Boyce, J. R. and Criddle, K. R.",,1996,Journal Article,record,,,Gulkana,,Land Economics; ISSN 0023-7639; Volume 72; Issue 1; 113-128 pp.,Economic value of recreation,Alaska,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/91,91,90.jpg,/rrrd/image/90.jpg,record,,,,
rrrd092,Economic value of instream flow in Montana's Big Hole and Bitterroot Rivers,,"Duffield, J. W., Brown, T. C. and Allen, S. D.",,1994,Report,record,,,Big Hole; Bitterroot,,"Fort Collins, CO; USDA Forest Service, Rocky Mountain Forest and Range Experiment Station; Research Paper RM-317; 64 p.",Economic value of recreation,Montana,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/92,92,91.jpg,/rrrd/image/91.jpg,record,,,,
rrrd093,Whitewater rafting in the southeastern United States: current status and constraints on future growth,,"Mayfield, M. W. and DeHart, J. L.",,1989,Journal Article,record,,,n/a,,Sport Place; Volume 3; Issue 3;  14-19 pp.,Miscellaneous,West Virginia,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/93,93,92.jpg,/rrrd/image/92.jpg,record,,,,
rrrd094,Why do people float rivers and how long do the benefits last?,,"Lime, D. W., Thompson, J. L. and Anderson, D.",,1994,Conference Proceedings,record,,,Niobrara,,"Rivers Without Boundaries; Grand Junction, CO; American River Management Society; 135-142 pp.","User experience, User satisfaction, Non-economic benefit of recreation",Nebraska,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/94,94,93.jpg,/rrrd/image/93.jpg,record,,,,
rrrd095,Wilderness values in de facto wilderness: management policy perceptions of managers and commercial users,,"Absher, J. D. and McAvoy, L. H.","Lucas, R. C.",1986,Conference Proceedings,record,,,Mississippi (Upper),,"National wilderness research conference: current research, GTR-INT-212, July 23-26, 1985; Fort Collins, CO; USDA Forest Service, Intermountain Research Station; 348-353 pp.",Miscellaneous,Iowa; Illinois; Minnesota; Missouri; Wisconsin,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/95,95,94.jpg,/rrrd/image/94.jpg,record,,,,
rrrd096,Wildlife management: managing the hunt versus the hunting experience,,"Hammitt, W. E., McDonald, C. D. and Noe, F. P.",,1989,Journal Article,record,,,Big South Fork National River,,Environmental Management; ISSN 0364-152X; Volume 13; Issue 4; 503-507 pp.,"Recreation experience, User satisfaction",Tennessee,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/96,96,95.jpg,/rrrd/image/95.jpg,record,,,,
rrrd097,Willingness to pay for non angler recreation at the Lower Snake River reservoirs,,"McKean, J. R., Johnson, D., Taylor, R. G. and Johnson, R. L.",,2005,Journal Article,record,,,Snake (Lower),,Journal of Leisure Research; ISSN 0022-2216; Volume 37; Issue 2; 178-194 pp.,"Economic value of recreation, Recreation demand",Washington,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/97,97,96.jpg,/rrrd/image/96.jpg,record,,,,
rrrd098,Whitewater boaters in Utah: implications for wild river planning,,"Blahna, D. J. and Reiter, D. K.",,2001,Journal Article,record,,,n/a,,International Journal of Wilderness; ISSN 1086-5519; Volume 7; Issue 1; 39-43 pp.,"Recreation experience, Recreation setting",Utah,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/98,98,100.jpg,/rrrd/image/100.jpg,record,,,,
rrrd099,Permits on the Smith? Evolution of use on a Montana river,,"Baxter, W.",,1991,Journal Article,record,,,Smith,,Western Wildlands; ISSN 0363-6690; Volume 16; Issue 4; p. 38.,Use allocation,Montana,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/99,99,101.jpg,/rrrd/image/101.jpg,record,,,,
rrrd100,Persuasion and Normative Influence in Commercial River Recreation,,"Cockrell, D., Bange, S. and Roggenbuck, J.",,1984,Journal Article,record,,,New River Gorge,,Journal of Environmental Education; ISSN 0095-8964; Volume 15; Issue 4; 20-26 pp.,n/a,Virginia,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/100,100,102.jpg,/rrrd/image/102.jpg,record,,,,
rrrd101,Place attachment in Canyonlands National Park: visitors' assessment of setting attributes on the Colorado and Green Rivers,,"Warzecha, C. A. and Lime, D. W.",,2001,Journal Article,record,,,Green (Canyonlands NP); Colorado (Canyonlands NP),,Journal of Park and Recreation Administration; ISSN 0735-1968; Volume 19; Issue 1; 59-78 pp.,Place attachment,Utah,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/101,101,103.jpg,/rrrd/image/103.jpg,record,,,,
rrrd102,Playing with borrowed water: conflicts over instream flows on the Upper Arkansas River,,"Naeser, R. B. and Smith, M. G.",,1995,Journal Article,record,,,Arkansas,,Natural Resources Journal; ISSN 0028-0739; Volume 35; Issue 1; 93-110 pp.,Miscellaneous,Colorado,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/102,102,104.jpg,/rrrd/image/104.jpg,record,,,,
rrrd103,Pooled time-series cross-section travel cost models: testing whether recreation behavior is stable over time,,"Cooper, J. and Loomis, J.",,1990,Journal Article,record,,,Feather (North Fork),,Leisure Sciences; ISSN 0149-0400; Volume 12; Issue 2; 161-171 pp.,Economic value of recreation,California,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/103,103,105.jpg,/rrrd/image/105.jpg,record,,,,
rrrd104,Predictors of management preferences among riverfront landowners and boaters of the Great Egg Harbor river: a study of stakeholders in a multi-jurisdictional setting,,"Adcock, A. M.",,1999,Thesis,record,,,Great Egg Harbor,,"Blacksburg, VA; Virginia Polytechnic Institute and State University; 140 p.","Cooperative/collaborative management, Management preferences",New Jersey,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/104,104,106.jpg,/rrrd/image/106.jpg,record,,,,
rrrd105,Visitors' relationship to the resource: comparing place attachment in wildland and developed settings,,"Warzecha, C. A., Lime, D. W. and Thompson, J. L.","Cole, D. N., McCool, S. F., Borrie, W. T. and O'Loughlin, J.",2000,Conference Proceedings,record,,,Green (Canyonlands NP); Colorado (Canyonlands NP),,"Wilderness science in a time of change conference, volume 4 : wilderness visitors, experiences, and visitor management, RMRS-P-15, May 23-27, 1999; Missoula, MT; USDA Forest Service, Rocky Mountain Research Station; 181-184 pp.",Place attachment,Utah,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/105,105,97.jpg,/rrrd/image/97.jpg,record,,,,
rrrd106,"Watercraft user characteristics, management preferences, and user encounters on the Upper Delaware scenic and recreational river: 1979 - 1996",,"Bowes, S. M. and Dawson, C. P.",,1997,Conference Proceedings,record,,,n/a,,"1997 Northeastern Recreation Research Symposium; Bolton Landing, NY; USDA Forest Service;",Recreation experience,n/a,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/106,106,98.jpg,/rrrd/image/98.jpg,record,,,,
rrrd107,"What's a river worth, anyway? A resource valuation survey of the Ohio River",,"Vicory, A. H., Jr. and Stevenson, A. K.",,1995,Journal Article,record,,,Ohio,,"Water Science and Technology; ISSN 0273-1223; Volume 32, Issue 5/6; 63-70 pp.",Economic value of recreation,n/a,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/107,107,99.jpg,/rrrd/image/99.jpg,record,,,,
rrrd108,Economic values and product shift on the Rogue River: a study of non-commercial whitewater recreation,,"Johnson, R. J., Shelby, B. and Bregenzer, N. S.",,1990,Report,record,,,Rogue,,"Corvallis, OR; Oregon State University, Water Resources Research Institute; WRRI-107; 71 p.",Economic value of recreation,Oregon,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/108,108,107.jpg,/rrrd/image/107.jpg,record,,,,
rrrd109,Effective coping strategies in stressful outdoor recreation situations: conflict on the Ocoee River,,"Schuster, R. and Hammitt, W.","Cole, D. N., McCool, S. F., Borrie, W. T. and O'Loughlin, J.",2000,Conference Proceedings,record,,,Ocoee,,"Wilderness science in a time of change conference, volume 4 : wilderness visitors, experiences, and visitor management, RMRS-P-15, May 23-27, 1999; Missoula, MT; USDA Forest Service, Rocky Mountain Research Station; 167-174 pp.",User group conflicts,Tennessee,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/109,109,108.jpg,/rrrd/image/108.jpg,record,,,,
rrrd110,Effect of question context on a recreation satisfaction measure,,"Schomaker, J. H. and Knopf, R. C.",,1982,Journal Article,record,,,Delaware (Upper); Ocoee,,Leisure Sciences; ISSN 0149-0400; Volume 5; Issue 1; 35-43 pp.,User satisfaction,New York;  Tennessee,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/110,110,109.jpg,/rrrd/image/109.jpg,record,,,,
rrrd111,Effects of boat traffic on juvenile salmonids in the Rogue River,,"Satterthwaite, T. D.",,1995,Report,record,,,Rogue,,"Portland, OR; Oregon State University, Water Resources Research Institute",Fisheries impacts,Oregon,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/111,111,110.jpg,/rrrd/image/110.jpg,record,,,,
rrrd112,"Effects of boatwakes on streambank erosion Kenai River, Alaska",,"Dorava, J. M. and Moore, G. W.",,1997,Report,record,,,Kenai,,"Anchorage, Alaska; U.S. Geological Survey; Water-Resources Investigation Report 97-4105; p. 84.",Level of environmental impact; Streambank erosion; Motorized boat impacts,Alaska,2010-03-30,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/112,112,111.jpg,/rrrd/image/111.jpg,record,,,,
rrrd113,Effects of Glen Canyon Dam on Colorado River sand deposits used as campsites in Grand Canyon National Park,,"Kearsley, L. H., Schmidt, J. C. and Warren, K. D.",,1994,Journal Article,record,,,Colorado (Grand Canyon),,Regulated Rivers; ISSN 0886-9375; Volume 9; Issue 3; 137-149 pp.,Use allocation,Arizona,2010-03-30,2010-03-30,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/113,113,112.jpg,/rrrd/image/112.jpg,record,,,,
